X.YY,MM,DD,hh,mm,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,PTDY,TIDE
2024,06,12,04,30,MM,0.0,MM,MM,MM,MM,MM,1015.0,13.0,MM,12.7,MM,MM,MM
2024,06,12,04,15,MM,0.0,MM,MM,MM,MM,MM,1015.0,13.0,MM,12.7,MM,MM,MM
2024,06,12,04,00,MM,0.0,MM,MM,MM,MM,MM,1015.0,13.1,MM,12.8,MM,+1.0,MM
2024,06,12,03,45,MM,0.0,MM,MM,MM,MM,MM,1015.0,12.9,MM,12.6,MM,MM,MM
2024,06,12,03,30,MM,0.0,MM,MM,MM,MM,MM,1015.0,12.4,MM,12.1,MM,MM,MM
2024,06,12,03,15,MM,0.0,MM,MM,MM,MM,MM,1015.0,11.7,MM,11.2,MM,MM,MM
2024,06,12,03,00,MM,0.0,MM,MM,MM,MM,MM,1014.0,11.9,MM,11.4,MM,+0.0,MM
2024,06,12,02,45,70,0.5,MM,MM,MM,MM,MM,1014.0,12.0,MM,11.5,MM,MM,MM
2024,06,12,02,30,90,0.5,MM,MM,MM,MM,MM,1014.0,11.8,MM,11.3,MM,MM,MM
2024,06,12,02,15,110,0.5,MM,MM,MM,MM,MM,1014.0,11.8,MM,11.2,MM,MM,MM
2024,06,12,02,00,MM,0.0,MM,MM,MM,MM,MM,1014.0,12.5,MM,11.9,MM,+0.0,MM
2024,06,12,01,45,MM,0.0,MM,MM,MM,MM,MM,1014.0,12.6,MM,12.0,MM,MM,MM
2024,06,12,01,30,80,0.5,MM,MM,MM,MM,MM,1014.0,12.7,MM,11.9,MM,MM,MM
2024,06,12,01,15,MM,0.0,MM,MM,MM,MM,MM,1014.0,13.1,MM,12.2,MM,MM,MM
2024,06,12,01,00,70,0.5,MM,MM,MM,MM,MM,1014.0,13.5,MM,12.6,MM,+1.0,MM
2024,06,12,00,45,50,0.5,MM,MM,MM,MM,MM,1014.0,14.1,MM,12.8,MM,MM,MM
2024,06,12,00,30,MM,0.0,MM,MM,MM,MM,MM,1014.0,14.5,MM,12.9,MM,MM,MM
2024,06,12,00,15,80,0.5,MM,MM,MM,MM,MM,1014.0,15.0,MM,13.1,MM,MM,MM
2024,06,12,00,00,MM,0.0,MM,MM,MM,MM,MM,1014.0,16.0,MM,13.2,MM,+1.0,MM
2024,06,11,23,45,MM,0.0,MM,MM,MM,MM,MM,1014.0,16.6,MM,13.0,MM,MM,MM
2024,06,11,23,30,MM,0.0,MM,MM,MM,MM,MM,1014.0,17.0,MM,12.8,MM,MM,MM
2024,06,11,23,15,MM,0.0,MM,MM,MM,MM,MM,1013.0,17.4,MM,13.0,MM,MM,MM
2024,06,11,23,00,140,0.5,MM,MM,MM,MM,MM,1014.0,17.7,MM,12.5,MM,+1.0,MM
2024,06,11,22,45,140,0.5,MM,MM,MM,MM,MM,1013.0,18.3,MM,13.3,MM,MM,MM
2024,06,11,22,30,140,0.5,MM,MM,MM,MM,MM,1013.0,18.5,MM,13.0,MM,MM,MM
2024,06,11,22,15,150,1.0,MM,MM,MM,MM,MM,1013.0,18.8,MM,13.1,MM,MM,MM
2024,06,11,22,00,150,0.5,MM,MM,MM,MM,MM,1013.0,18.8,MM,13.3,MM,+0.0,MM
2024,06,11,21,45,140,0.5,MM,MM,MM,MM,MM,1013.0,18.7,MM,13.2,MM,MM,MM
2024,06,11,21,30,150,1.0,MM,MM,MM,MM,MM,1013.0,18.7,MM,13.0,MM,MM,MM
2024,06,11,21,15,140,0.5,MM,MM,MM,MM,MM,1013.0,18.5,MM,13.2,MM,MM,MM
2024,06,11,21,00,140,0.5,MM,MM,MM,MM,MM,1013.0,18.5,MM,13.2,MM,+0.0,MM
2024,06,11,20,45,150,0.5,MM,MM,MM,MM,MM,1013.0,18.5,MM,13.0,MM,MM,MM
2024,06,11,20,30,160,0.5,MM,MM,MM,MM,MM,1013.0,18.6,MM,13.1,MM,MM,MM
2024,06,11,20,15,160,0.5,MM,MM,MM,MM,MM,1013.0,18.9,MM,13.4,MM,MM,MM
2024,06,11,20,00,140,0.5,MM,MM,MM,MM,MM,1013.0,18.9,MM,12.8,MM,+1.0,MM
2024,06,11,19,45,140,1.0,MM,MM,MM,MM,MM,1013.0,19.1,MM,12.9,MM,MM,MM
2024,06,11,19,30,150,1.0,MM,MM,MM,MM,MM,1013.0,19.3,MM,12.9,MM,MM,MM
2024,06,11,19,15,120,1.0,MM,MM,MM,MM,MM,1013.0,19.5,MM,13.1,MM,MM,MM
2024,06,11,19,00,120,1.0,MM,MM,MM,MM,MM,1013.0,19.3,MM,12.9,MM,+1.0,MM
2024,06,11,18,45,140,1.0,MM,MM,MM,MM,MM,1013.0,19.4,MM,12.8,MM,MM,MM
2024,06,11,18,30,120,1.0,MM,MM,MM,MM,MM,1013.0,19.7,MM,13.1,MM,MM,MM
2024,06,11,18,15,140,1.5,MM,MM,MM,MM,MM,1013.0,19.3,MM,12.7,MM,MM,MM
2024,06,11,18,00,140,1.5,MM,MM,MM,MM,MM,1013.0,19.8,MM,12.9,MM,+1.0,MM
2024,06,11,17,45,130,1.5,MM,MM,MM,MM,MM,1013.0,20.1,MM,13.2,MM,MM,MM
2024,06,11,17,30,120,1.0,MM,MM,MM,MM,MM,1013.0,20.8,MM,13.4,MM,MM,MM
2024,06,11,17,15,120,1.5,MM,MM,MM,MM,MM,1013.0,21.8,MM,13.8,MM,MM,MM
2024,06,11,17,00,50,1.0,MM,MM,MM,MM,MM,1012.0,21.0,MM,13.6,MM,+0.0,MM
2024,06,11,16,45,260,1.5,MM,MM,MM,MM,MM,1012.0,21.1,MM,13.4,MM,MM,MM
2024,06,11,16,30,270,1.5,MM,MM,MM,MM,MM,1012.0,20.2,MM,13.3,MM,MM,MM
2024,06,11,16,15,230,1.5,MM,MM,MM,MM,MM,1012.0,20.4,MM,13.3,MM,MM,MM
2024,06,11,16,00,260,1.0,MM,MM,MM,MM,MM,1012.0,20.0,MM,13.3,MM,+0.0,MM
2024,06,11,15,45,280,1.0,MM,MM,MM,MM,MM,1012.0,20.2,MM,12.8,MM,MM,MM
2024,06,11,15,30,MM,0.0,MM,MM,MM,MM,MM,1012.0,20.0,MM,12.6,MM,MM,MM
2024,06,11,15,15,270,1.0,MM,MM,MM,MM,MM,1012.0,19.4,MM,12.5,MM,MM,MM
2024,06,11,15,00,270,1.0,MM,MM,MM,MM,MM,1012.0,19.2,MM,12.6,MM,+0.0,MM
2024,06,11,14,45,270,1.5,MM,MM,MM,MM,MM,1012.0,19.8,MM,12.9,MM,MM,MM
2024,06,11,14,30,260,1.5,MM,MM,MM,MM,MM,1012.0,19.0,MM,13.1,MM,MM,MM
2024,06,11,14,15,280,1.5,MM,MM,MM,MM,MM,1012.0,18.0,MM,12.5,MM,MM,MM
2024,06,11,14,00,270,1.0,MM,MM,MM,MM,MM,1012.0,17.5,MM,12.7,MM,+1.0,MM
2024,06,11,13,45,280,1.5,MM,MM,MM,MM,MM,1012.0,17.5,MM,12.9,MM,MM,MM
2024,06,11,13,30,280,1.5,MM,MM,MM,MM,MM,1012.0,17.2,MM,12.8,MM,MM,MM
2024,06,11,13,15,270,1.0,MM,MM,MM,MM,MM,1012.0,16.9,MM,12.7,MM,MM,MM
2024,06,11,13,00,260,1.5,MM,MM,MM,MM,MM,1012.0,16.7,MM,12.7,MM,+2.0,MM
2024,06,11,12,45,270,1.5,MM,MM,MM,MM,MM,1012.0,16.5,MM,12.7,MM,MM,MM
2024,06,11,12,30,270,1.0,MM,MM,MM,MM,MM,1012.0,16.0,MM,12.4,MM,MM,MM
2024,06,11,12,15,270,1.5,MM,MM,MM,MM,MM,1012.0,15.2,MM,12.0,MM,MM,MM
2024,06,11,12,00,270,1.5,MM,MM,MM,MM,MM,1012.0,14.8,MM,11.8,MM,+3.0,MM
2024,06,11,11,45,270,1.5,MM,MM,MM,MM,MM,1011.0,14.4,MM,11.6,MM,MM,MM
2024,06,11,11,30,270,1.5,MM,MM,MM,MM,MM,1011.0,14.0,MM,11.6,MM,MM,MM
2024,06,11,11,15,280,1.5,MM,MM,MM,MM,MM,1011.0,13.7,MM,11.4,MM,MM,MM
2024,06,11,11,00,280,2.1,MM,MM,MM,MM,MM,1011.0,13.4,MM,11.5,MM,+2.0,MM
2024,06,11,10,45,280,1.5,MM,MM,MM,MM,MM,1011.0,13.3,MM,11.2,MM,MM,MM
2024,06,11,10,30,270,1.5,MM,MM,MM,MM,MM,1010.0,13.2,MM,11.1,MM,MM,MM
2024,06,11,10,15,270,1.5,MM,MM,MM,MM,MM,1010.0,12.9,MM,11.0,MM,MM,MM
2024,06,11,10,00,260,1.5,MM,MM,MM,MM,MM,1010.0,12.6,MM,11.0,MM,+2.0,MM
2024,06,11,09,45,280,1.5,MM,MM,MM,MM,MM,1010.0,12.0,MM,10.9,MM,MM,MM
2024,06,11,09,30,240,1.0,MM,MM,MM,MM,MM,1010.0,11.5,MM,10.4,MM,MM,MM
2024,06,11,09,15,230,1.0,MM,MM,MM,MM,MM,1010.0,11.6,MM,10.5,MM,MM,MM
2024,06,11,09,00,220,1.0,MM,MM,MM,MM,MM,1009.0,12.2,MM,10.8,MM,+1.0,MM
2024,06,11,08,45,250,1.5,MM,MM,MM,MM,MM,1009.0,12.8,MM,11.2,MM,MM,MM
2024,06,11,08,30,260,0.5,MM,MM,MM,MM,MM,1009.0,13.2,MM,11.3,MM,MM,MM
2024,06,11,08,15,280,1.0,MM,MM,MM,MM,MM,1009.0,13.3,MM,11.2,MM,MM,MM
2024,06,11,08,00,290,1.0,MM,MM,MM,MM,MM,1009.0,13.4,MM,11.5,MM,+1.0,MM
2024,06,11,07,45,270,1.0,MM,MM,MM,MM,MM,1009.0,13.3,MM,11.4,MM,MM,MM
2024,06,11,07,30,290,1.0,MM,MM,MM,MM,MM,1009.0,13.6,MM,11.5,MM,MM,MM
2024,06,11,07,15,310,1.0,MM,MM,MM,MM,MM,1008.0,13.9,MM,11.6,MM,MM,MM
2024,06,11,07,00,280,2.1,MM,MM,MM,MM,MM,1008.0,14.0,MM,11.9,MM,+1.0,MM
2024,06,11,06,45,270,2.6,MM,MM,MM,MM,MM,1008.0,14.1,MM,12.0,MM,MM,MM
2024,06,11,06,30,270,2.1,MM,MM,MM,MM,MM,1008.0,14.1,MM,12.0,MM,MM,MM
2024,06,11,06,15,270,2.6,MM,MM,MM,MM,MM,1008.0,14.2,MM,12.1,MM,MM,MM
2024,06,11,06,00,280,1.5,MM,MM,MM,MM,MM,1008.0,14.4,MM,11.9,MM,+2.0,MM
2024,06,11,05,45,280,1.5,MM,MM,MM,MM,MM,1008.0,14.5,MM,12.2,MM,MM,MM
2024,06,11,05,30,280,2.1,MM,MM,MM,MM,MM,1008.0,14.6,MM,12.3,MM,MM,MM
2024,06,11,05,15,270,2.1,MM,MM,MM,MM,MM,1008.0,14.4,MM,12.1,MM,MM,MM
2024,06,11,05,00,270,2.1,MM,MM,MM,MM,MM,1008.0,14.3,MM,12.4,MM,+2.0,MM
2024,06,11,04,45,250,0.5,MM,MM,MM,MM,MM,1008.0,12.9,MM,11.7,MM,MM,MM
2024,06,11,04,30,MM,0.0,MM,MM,MM,MM,MM,1008.0,13.7,MM,11.8,MM,MM,MM
2024,06,11,04,15,210,1.0,MM,MM,MM,MM,MM,1008.0,14.7,MM,12.4,MM,MM,MM
2024,06,11,04,00,340,0.5,MM,MM,MM,MM,MM,1007.0,15.2,MM,12.2,MM,+2.0,MM
2024,06,11,03,45,MM,0.0,MM,MM,MM,MM,MM,1007.0,15.6,MM,12.4,MM,MM,MM
2024,06,11,03,30,220,0.5,MM,MM,MM,MM,MM,1007.0,16.0,MM,12.4,MM,MM,MM
2024,06,11,03,15,10,0.5,MM,MM,MM,MM,MM,1007.0,16.2,MM,12.4,MM,MM,MM
2024,06,11,03,00,MM,0.0,MM,MM,MM,MM,MM,1006.0,16.4,MM,12.6,MM,+2.0,MM
2024,06,11,02,45,300,1.0,MM,MM,MM,MM,MM,1006.0,17.0,MM,12.6,MM,MM,MM
2024,06,11,02,30,290,1.0,MM,MM,MM,MM,MM,1006.0,17.1,MM,12.3,MM,MM,MM
2024,06,11,02,15,290,1.0,MM,MM,MM,MM,MM,1006.0,17.1,MM,12.3,MM,MM,MM
2024,06,11,02,00,320,1.0,MM,MM,MM,MM,MM,1006.0,17.3,MM,12.3,MM,+3.0,MM
2024,06,11,01,45,320,0.5,MM,MM,MM,MM,MM,1005.0,17.6,MM,12.4,MM,MM,MM
2024,06,11,01,30,300,1.0,MM,MM,MM,MM,MM,1005.0,18.0,MM,12.8,MM,MM,MM
2024,06,11,01,15,280,1.5,MM,MM,MM,MM,MM,1005.0,18.1,MM,13.5,MM,MM,MM
2024,06,11,01,00,270,2.1,MM,MM,MM,MM,MM,1005.0,18.2,MM,13.2,MM,+2.0,MM
2024,06,11,00,45,260,2.1,MM,MM,MM,MM,MM,1005.0,18.4,MM,13.1,MM,MM,MM
2024,06,11,00,30,270,2.6,MM,MM,MM,MM,MM,1004.0,18.5,MM,13.5,MM,MM,MM
2024,06,11,00,15,280,2.6,MM,MM,MM,MM,MM,1004.0,18.8,MM,13.5,MM,MM,MM
2024,06,11,00,00,280,2.6,MM,MM,MM,MM,MM,1004.0,19.1,MM,13.6,MM,+2.0,MM
2024,06,10,23,45,270,3.1,MM,MM,MM,MM,MM,1004.0,19.5,MM,13.3,MM,MM,MM
2024,06,10,23,30,270,3.6,MM,MM,MM,MM,MM,1004.0,20.1,MM,13.9,MM,MM,MM
2024,06,10,23,15,280,2.6,MM,MM,MM,MM,MM,1003.0,20.4,MM,13.7,MM,MM,MM
2024,06,10,23,00,270,3.1,MM,MM,MM,MM,MM,1003.0,20.7,MM,13.8,MM,+2.0,MM
2024,06,10,22,45,270,3.6,MM,MM,MM,MM,MM,1003.0,20.6,MM,13.9,MM,MM,MM
2024,06,10,22,30,280,4.1,MM,MM,MM,MM,MM,1003.0,20.9,MM,13.5,MM,MM,MM
2024,06,10,22,15,270,3.1,MM,MM,MM,MM,MM,1003.0,20.9,MM,13.5,MM,MM,MM
2024,06,10,22,00,260,3.1,MM,MM,MM,MM,MM,1003.0,21.2,MM,13.8,MM,+2.0,MM
2024,06,10,21,45,270,2.6,MM,MM,MM,MM,MM,1002.0,21.0,MM,14.5,MM,MM,MM
2024,06,10,21,30,270,3.1,MM,MM,MM,MM,MM,1002.0,21.2,MM,14.3,MM,MM,MM
2024,06,10,21,15,270,2.1,MM,MM,MM,MM,MM,1002.0,21.5,MM,13.8,MM,MM,MM
2024,06,10,21,00,270,2.1,MM,MM,MM,MM,MM,1002.0,21.7,MM,14.0,MM,+1.0,MM
2024,06,10,20,45,270,2.1,MM,MM,MM,MM,MM,1002.0,21.9,MM,13.9,MM,MM,MM
2024,06,10,20,30,270,3.1,MM,MM,MM,MM,MM,1002.0,21.8,MM,12.8,MM,MM,MM
2024,06,10,20,15,270,3.1,MM,MM,MM,MM,MM,1002.0,21.9,MM,12.9,MM,MM,MM
2024,06,10,20,00,270,3.6,MM,MM,MM,MM,MM,1001.0,21.9,MM,13.4,MM,+0.0,MM
2024,06,10,19,45,270,3.6,MM,MM,MM,MM,MM,1001.0,21.9,MM,13.7,MM,MM,MM
2024,06,10,19,30,260,3.1,MM,MM,MM,MM,MM,1001.0,22.1,MM,13.4,MM,MM,MM
2024,06,10,19,15,260,2.6,MM,MM,MM,MM,MM,1001.0,22.6,MM,13.0,MM,MM,MM
2024,06,10,19,00,270,3.1,MM,MM,MM,MM,MM,1001.0,22.7,MM,13.7,MM,+0.0,MM
2024,06,10,18,45,260,2.6,MM,MM,MM,MM,MM,1001.0,22.0,MM,13.0,MM,MM,MM
2024,06,10,18,30,260,3.1,MM,MM,MM,MM,MM,1001.0,21.9,MM,13.2,MM,MM,MM
2024,06,10,18,15,260,2.6,MM,MM,MM,MM,MM,1001.0,22.5,MM,12.9,MM,MM,MM
2024,06,10,18,00,270,2.6,MM,MM,MM,MM,MM,1001.0,22.9,MM,13.0,MM,+0.0,MM
2024,06,10,17,45,270,2.6,MM,MM,MM,MM,MM,1001.0,22.7,MM,12.8,MM,MM,MM
2024,06,10,17,30,290,1.5,MM,MM,MM,MM,MM,1001.0,22.5,MM,12.9,MM,MM,MM
2024,06,10,17,15,280,2.1,MM,MM,MM,MM,MM,1001.0,22.1,MM,13.4,MM,MM,MM
2024,06,10,17,00,270,3.1,MM,MM,MM,MM,MM,1001.0,22.0,MM,13.8,MM,+0.0,MM
2024,06,10,16,45,270,3.6,MM,MM,MM,MM,MM,1001.0,22.1,MM,13.9,MM,MM,MM
2024,06,10,16,30,270,3.6,MM,MM,MM,MM,MM,1001.0,21.9,MM,13.7,MM,MM,MM
2024,06,10,16,15,270,3.1,MM,MM,MM,MM,MM,1001.0,21.1,MM,13.2,MM,MM,MM
2024,06,10,16,00,270,3.1,MM,MM,MM,MM,MM,1001.0,21.4,MM,13.2,MM,+0.0,MM
2024,06,10,15,45,270,2.6,MM,MM,MM,MM,MM,1001.0,21.2,MM,13.5,MM,MM,MM
2024,06,10,15,30,270,3.1,MM,MM,MM,MM,MM,1001.0,20.9,MM,13.2,MM,MM,MM
2024,06,10,15,15,260,2.6,MM,MM,MM,MM,MM,1001.0,20.3,MM,13.6,MM,MM,MM
2024,06,10,15,00,270,2.6,MM,MM,MM,MM,MM,1001.0,20.3,MM,13.6,MM,+0.0,MM
2024,06,10,14,45,280,2.1,MM,MM,MM,MM,MM,1001.0,19.8,MM,13.4,MM,MM,MM
2024,06,10,14,30,270,2.6,MM,MM,MM,MM,MM,1001.0,19.6,MM,13.4,MM,MM,MM
2024,06,10,14,15,260,2.6,MM,MM,MM,MM,MM,1000.0,19.4,MM,13.2,MM,MM,MM
2024,06,10,14,00,270,3.1,MM,MM,MM,MM,MM,1001.0,18.9,MM,13.0,MM,+1.0,MM
2024,06,10,13,45,270,3.1,MM,MM,MM,MM,MM,1001.0,18.6,MM,12.9,MM,MM,MM
2024,06,10,13,30,270,3.1,MM,MM,MM,MM,MM,1000.0,18.3,MM,12.8,MM,MM,MM
2024,06,10,13,15,270,3.1,MM,MM,MM,MM,MM,1001.0,17.7,MM,12.7,MM,MM,MM
2024,06,10,13,00,270,3.1,MM,MM,MM,MM,MM,1001.0,17.4,MM,12.6,MM,+1.0,MM
2024,06,10,12,45,270,3.6,MM,MM,MM,MM,MM,1001.0,16.8,MM,12.4,MM,MM,MM
2024,06,10,12,30,270,4.1,MM,MM,MM,MM,MM,1001.0,16.2,MM,12.0,MM,MM,MM
2024,06,10,12,15,270,3.6,MM,MM,MM,MM,MM,1001.0,15.7,MM,11.9,MM,MM,MM
2024,06,10,12,00,270,3.6,MM,MM,MM,MM,MM,1001.0,15.3,MM,11.5,MM,+2.0,MM
2024,06,10,11,45,260,2.1,MM,MM,MM,MM,MM,1001.0,14.9,MM,11.7,MM,MM,MM
2024,06,10,11,30,260,2.1,MM,MM,MM,MM,MM,1001.0,14.4,MM,11.4,MM,MM,MM
2024,06,10,11,15,260,2.1,MM,MM,MM,MM,MM,1000.0,13.9,MM,11.1,MM,MM,MM
2024,06,10,11,00,260,2.1,MM,MM,MM,MM,MM,1000.0,13.4,MM,11.0,MM,+1.0,MM
2024,06,10,10,45,260,2.1,MM,MM,MM,MM,MM,1000.0,13.0,MM,10.7,MM,MM,MM
2024,06,10,10,30,270,2.6,MM,MM,MM,MM,MM,1000.0,12.7,MM,10.6,MM,MM,MM
2024,06,10,10,15,260,2.1,MM,MM,MM,MM,MM,1000.0,12.5,MM,10.4,MM,MM,MM
2024,06,10,10,00,270,2.6,MM,MM,MM,MM,MM,1000.0,12.4,MM,10.5,MM,+1.0,MM
2024,06,10,09,45,260,2.1,MM,MM,MM,MM,MM,1000.0,12.2,MM,10.3,MM,MM,MM
2024,06,10,09,30,250,1.5,MM,MM,MM,MM,MM,1000.0,12.2,MM,10.3,MM,MM,MM
2024,06,10,09,15,250,2.1,MM,MM,MM,MM,MM,999.0,12.2,MM,10.3,MM,MM,MM
2024,06,10,09,00,260,2.1,MM,MM,MM,MM,MM,999.0,12.1,MM,10.4,MM,+0.0,MM
2024,06,10,08,45,270,2.6,MM,MM,MM,MM,MM,999.0,12.2,MM,10.5,MM,MM,MM
2024,06,10,08,30,270,2.1,MM,MM,MM,MM,MM,999.0,12.3,MM,10.2,MM,MM,MM
2024,06,10,08,15,250,1.5,MM,MM,MM,MM,MM,999.0,12.4,MM,10.2,MM,MM,MM
2024,06,10,08,00,250,1.5,MM,MM,MM,MM,MM,999.0,12.4,MM,10.2,MM,+0.0,MM
2024,06,10,07,45,250,1.0,MM,MM,MM,MM,MM,999.0,12.0,MM,10.3,MM,MM,MM
2024,06,10,07,30,MM,0.0,MM,MM,MM,MM,MM,999.0,12.2,MM,10.3,MM,MM,MM
2024,06,10,07,15,240,0.5,MM,MM,MM,MM,MM,999.0,12.5,MM,10.6,MM,MM,MM
2024,06,10,07,00,240,1.5,MM,MM,MM,MM,MM,999.0,13.1,MM,10.7,MM,-1.0,MM
2024,06,10,06,45,260,2.1,MM,MM,MM,MM,MM,999.0,13.0,MM,10.7,MM,MM,MM
2024,06,10,06,30,250,1.5,MM,MM,MM,MM,MM,999.0,13.0,MM,10.9,MM,MM,MM
2024,06,10,06,15,260,1.5,MM,MM,MM,MM,MM,999.0,12.8,MM,11.1,MM,MM,MM
2024,06,10,06,00,250,1.5,MM,MM,MM,MM,MM,999.0,12.4,MM,11.3,MM,-1.0,MM
